number,user_login,created_at,delivery_date,pickup_code,status
1,степанов.михаил.артёмович,2025-02-27,2025-04-20,901,done
2,никифорова.весения.николаевна,2022-09-28,2025-04-21,902,done
3,сазонов.руслан.германович,2025-03-21,2025-04-22,903,done
4,одинцов.серафим.артёмович,2025-02-20,2025-04-23,904,done
5,степанов.михаил.артёмович,2025-03-17,2025-04-24,905,done
6,никифорова.весения.николаевна,2025-03-01,2025-04-25,906,done
7,сазонов.руслан.германович,2025-02-28,2025-04-26,907,done
8,одинцов.серафим.артёмович,2025-03-31,2025-04-27,908,new
9,степанов.михаил.артёмович,2025-04-02,2025-04-28,909,new
10,степанов.михаил.артёмович,2025-04-03,2025-04-29,910,new
