login,full_name,role,password_hash
94d5ous@gmail.com,Никифорова Весения Николаевна,admin,uzWC67
uth4iz@mail.com,Сазонов Руслан Германович,admin,2L6KZG
yzls62@outlook.com,Одинцов Серафим Артёмович,admin,JlFRCZ
1diph5e@tutanota.com,Степанов Михаил Артёмович,manager,8ntwUp
tjde7c@yahoo.com,Ворсин Петр Евгеньевич,manager,YOyhfR
wpmrc3do@tutanota.com,Старикова Елена Павловна,manager,RSbvHv
5d4zbu@tutanota.com,Михайлюк Анна Вячеславовна,client,rwVDh9
ptec8ym@yahoo.com,Ситдикова Елена Анатольевна,client,LdNyos
1qz4kw@mail.com,Ворсин Петр Евгеньевич,client,gynQMT
4np6se@mail.com,Старикова Елена Павловна,client,AtnDjr
